"state","puma12","county14","stab","cntyname2","PUMAname","pop10","afact"
"51","51245","51683","VA","Manassas city VA","Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley",37821,0.329 
"51","51245","51685","VA","Manassas Park city VA","Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley",14273,0.124 
"51","51246","51153","VA","Prince William VA","Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge",227943,1 
"51","51255","51510","VA","Alexandria city VA","Alexandria City",139966,1 
"51","55001","51550","VA","Chesapeake city VA","Chesapeake City (Northeast)",113140,1 
"51","55002","51550","VA","Chesapeake city VA","Chesapeake City (South & West)",109069,1 
"51","59301","51059","VA","Fairfax VA","Fairfax County (East Central)--Annandale, West Falls Church & Baileys Crossroads",144493,1 
"51","59302","51059","VA","Fairfax VA","Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon",123184,1 
"51","59303","51059","VA","Fairfax VA","Fairfax County (Central) & Fairfax City--Burke",129781,0.852 
"51","59303","51600","VA","Fairfax city VA","Fairfax County (Central) & Fairfax City--Burke",22565,0.148 
"51","59304","51059","VA","Fairfax VA","Fairfax County (Southwest)--Centreville (Southeast) & Lorton",102067,1 
"51","59305","51059","VA","Fairfax VA","Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East)",114330,1 
"51","59306","51059","VA","Fairfax VA","Fairfax County (South Central)--Springfield (South), West Springfield & Franconia",103204,1 
"51","59307","51059","VA","Fairfax VA","Fairfax County (Northwest)--Reston (North) & Franklin Farm",159845,1 
"51","59308","51059","VA","Fairfax VA","Fairfax County (Northeast)--McLean & Idylwood",97080,0.887 
"51","59308","51610","VA","Falls Church city VA","Fairfax County (Northeast)--McLean & Idylwood",12332,0.113 
"51","59309","51059","VA","Fairfax VA","Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West)",107742,1 
